serial,team_serial,player_serial,team,team_,player,birth_weekday,birth_monthday,birth_month,birth_year, age ,club,height,foot,international_matches,goals,debut,market_value_euro,market_value ,value,position,is_foreigner,team_country,squad_size,average_age,foreigners,confederation,FIFA_world_ranking,total_value_euro,total_value, team_value 
110,4,27,Djibouti,Djibouti,Darar Aboubaker,Wednesday,27,12,1989,31,Djibouti Télécom,,-,1,,-,_, - ,,Attack,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
111,4,28,Djibouti,Djibouti,Samuel Akinbinu,Thursday,6,6,1995,26,AS Arta/Solar7,178,-,2,1,"Jun 15, 2021",_, - ,,Centre-Forward,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
112,5,1,Egypt,Egypt,Mohamed El Shenawy,Saturday,18,12,1988,32,El Ahly Cairo,191,-,27,,"Mar 23, 2018",€2.50m , $2.8m ,2500000,Goalkeeper,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
113,5,2,Egypt,Egypt,Gabaski,Tuesday,28,2,1989,32,Zamalek SC,191,right,3,,"Sep 3, 2011",€800Th. ," $904,000 ",800000,Goalkeeper,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
114,5,3,Egypt,Egypt,Mohamed Bassam,Monday,25,12,1990,30,Tala'ea El Gaish,191,right,,,-,€500Th.," $565,000 ",500000,Goalkeeper,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
115,5,4,Egypt,Egypt,Mohamed Sobhi,Wednesday,15,7,1999,22,Pharco FC,185,right,,,-,€250Th. ," $283,000 ",250000,Goalkeeper,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
116,5,5,Egypt,Egypt,Ahmed Hegazy,Wednesday,25,1,1991,30,Al-Ittihad Jeddah,193,right,66,2,"Sep 3, 2011",€4.00m, $4.5m ,4000000,Centre-Back,1,Saudi Arabia,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
117,5,6,Egypt,Egypt,Mahmoud Hamdi,Friday,1,6,1995,26,Zamalek SC,184,right,11,1,"May 25, 2018",€1.50m , $1.7m ,1500000,Centre-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
118,5,7,Egypt,Egypt,Ayman Ashraf,Wednesday,9,4,1991,30,El Ahly Cairo,175,left,19,2,"Aug 30, 2016",€1.20m, $1.4m ,1200000,Centre-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
119,5,8,Egypt,Egypt,Yasser Ibrahim,Monday,10,2,1993,28,El Ahly Cairo,185,-,,,-,€600Th.," $678,000 ",600000,Centre-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
120,5,9,Egypt,Egypt,Baher El Mohamady,Thursday,1,11,1996,24,Ismaily SC,179,right,12,1,"Sep 8, 2018",€300Th.," $339,000 ",300000,Centre-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
121,5,10,Egypt,Egypt,Ahmed Fatouh,Tuesday,22,3,1998,23,Zamalek SC,175,left,6,1,"Mar 26, 2019",€800Th," $904,000 ",800000,Left-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
122,5,11,Egypt,Egypt,Akram Tawfik,Saturday,8,11,1997,23,El Ahly Cairo,183,right,3,,"Sep 30, 2021",€600Th. ," $678,000 ",600000,Right-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
123,5,12,Egypt,Egypt,Ahmed Fathi,Monday,10,11,1984,36,Pyramids FC,175,right,133,3,"Dec 16, 2002",€250Th.," $283,000 ",250000,Right-Back,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
124,5,13,Egypt,Egypt,Mohamed Elneny,Friday,11,7,1992,29,Arsenal FC,179,right,81,7,"Sep 3, 2011",€10.00m , $11.3m ,10000000,Defensive Midfield,1,England,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
125,5,14,Egypt,Egypt,Tarek Hamed,Tuesday,24,10,1988,33,Zamalek SC,165,right,50,,"Mar 7, 2013",€1.20m , $1.4m ,1200000,Defensive Midfield,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
126,5,15,Egypt,Egypt,Hamdi Fathi,Saturday,29,9,1994,27,El Ahly Cairo,180,right,8,1,"Oct 14, 2019",€1.00m , $1.1m ,1000000,Defensive Midfield,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
127,5,16,Egypt,Egypt,Amr El Solia,Monday,2,4,1990,31,El Ahly Cairo,185,right,31,,"Aug 11, 2010",€1.50m, $1.7m ,1500000,Central Midfield,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
128,5,17,Egypt,Egypt,Abdallah Said,Monday,13,7,1985,36,Pyramids FC,176,both,52,6,"Jun 14, 2008",€1.20m, $1.4m ,1200000,Attacking Midfield,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
129,5,18,Egypt,Egypt,Ramadan Sobhi,Sunday,23,1,1997,24,Pyramids FC,183,right,34,2,"Jun 14, 2015",€3.00m, $3.4m ,3000000,Left Winger,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
130,5,19,Egypt,Egypt,Ibrahim Adel,Monday,24,4,2001,20,Pyramids FC,173,right,1,,"Sep 30, 2021",€150Th. ," $170,000 ",150000,Left Winger,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
131,5,20,Egypt,Egypt,Mohamed Salah,Monday,15,6,1992,29,Liverpool FC,175,left,71,43,"Sep 3, 2011",€100.00m, $113m ,100000000,Right Winger,1,England,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
132,5,21,Egypt,Egypt,Zizo,Friday,10,1,1996,25,Zamalek SC,180,right,7,,"Nov 7, 2019",€1.20m, $1.4m ,1200000,Right Winger,0,-,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
133,5,22,Egypt,Egypt,Mostafa Mohamed,Wednesday,28,11,1997,23,Galatasaray A.S.,185,right,8,2,"Mar 23, 2019",€6.00m, $6.8m ,6000000,Centre-Forward,1,Turkey,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
134,5,23,Egypt,Egypt,Omar Marmoush,Thursday,7,2,1999,22,VfB Stuttgart,183,right,2,1,"Oct 8, 2021",€4.00m, $4.5m ,4000000,Centre-Forward,1,Germany,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
135,5,24,Egypt,Egypt,Ahmed Hassan,Tuesday,5,3,1993,28,Konyaspor,191,right,27,5,"Aug 14, 2013",€3.40m, $3.8m ,3400000,Centre-Forward,1,Turkey,24,28.2,6,CAF,44,€145.95m,$146m,"145,950,000"
136,6,1,Iraq,Iraq,Fahad Talib,Friday,21,10,1994,27,Al-Quwa Al-Jawiya,193,-,7,,-,€300Th.," $339,000 ",300000,Goalkeeper,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
137,6,2,Iraq,Iraq,Ahmed Basil,Thursday,19,8,1996,25,Al-Shorta SC,184,-,,,-,€300Th.," $339,000 ",300000,Goalkeeper,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
138,6,3,Iraq,Iraq,Ahmad Ibrahim Khalaf,Saturday,25,2,1992,29,Al-Quwa Al-Jawiya,190,right,109,4,-,€600Th. ," $678,000 ",600000,Centre-Back,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
139,6,4,Iraq,Iraq,Maytham Jabbar,Monday,10,11,2000,20,Al-Quwa Al-Jawiya,182,right,8,,-,€500Th.," $565,000 ",500000,Centre-Back,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
140,6,5,Iraq,Iraq,Rebin Sulaka,Sunday,12,4,1992,29,Buriram United,192,right,23,,"Jun 11, 2015",€350Th.," $396,000 ",350000,Centre-Back,1,Thailand,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
141,6,6,Iraq,Iraq,Ali Faez,Tuesday,9,9,1994,27,Qadsia SC,183,right,35,3,-,€300Th.," $339,000 ",300000,Centre-Back,1,Kuwait,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
142,6,7,Iraq,Iraq,Ali Adnan,Sunday,19,12,1993,27,Without Club,185,left,80,4,"Dec 3, 2012",€1.50m, $1.7m ,1500000,Left-Back,1,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
143,6,8,Iraq,Iraq,Alaa Mhawi,Sunday,3,6,1996,25,Al-Zawraa SC,178,right,39,,-,€300Th.," $339,000 ",300000,Right-Back,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
144,6,9,Iraq,Iraq,Sherko Karim,Thursday,25,5,1996,25,Erbil SC,177,both,7,1,"Jan 12, 2021",€225Th.," $254,000 ",225000,Right-Back,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
145,6,10,Iraq,Iraq,Amjad Attwan,Thursday,12,3,1997,24,Al-Shamal SC,179,right,54,1,"Mar 18, 2016",€650Th.," $735,000 ",650000,Defensive Midfield,1,Qatar,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
146,6,11,Iraq,Iraq,Safaa Hadi,Wednesday,14,10,1998,23,Al-Quwa Al-Jawiya,178,right,35,1,"May 8, 2018",€200Th. ," $226,000 ",200000,Defensive Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
147,6,12,Iraq,Iraq,Shareef Abdulkadhim,Friday,7,6,1996,25,Al-Quwa Al-Jawiya,,-,2,,"Nov 26, 2019",€150Th.," $170,000 ",150000,Defensive Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
148,6,13,Iraq,Iraq,Amir Al-Ammari,Thursday,27,7,1997,24,Halmstads BK,184,left,2,,"Sep 2, 2021",€500Th.," $565,000 ",500000,Central Midfield,1,Sweden,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
149,6,14,Iraq,Iraq,Bashar Resan,Thursday,22,12,1996,24,Qatar SC,176,right,42,2,"Sep 4, 2014",€650Th. ," $735,000 ",650000,Attacking Midfield,1,Qatar,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
150,6,15,Iraq,Iraq,Ibrahim Bayesh,Tuesday,1,5,2000,21,Al-Quwa Al-Jawiya,177,-,13,3,-,€475Th.," $537,000 ",475000,Attacking Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
151,6,16,Iraq,Iraq,Mohammed Ali Aboud,Monday,1,10,1998,23,Al-Quwa Al-Jawiya,,-,1,,"Oct 7, 2021",€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
152,6,17,Iraq,Iraq,Mohammed Qasim,Friday,6,12,1996,24,Al-Shorta SC,167,-,17,2,-,€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
153,6,18,Iraq,Iraq,Alaa Abdul-Zahra,Thursday,22,12,1984,36,Al-Shorta SC,173,both,124,17,-,€200Th. ," $226,000 ",200000,Attacking Midfield,0,-,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
154,6,19,Iraq,Iraq,Humam Tariq,Monday,10,2,1993,28,Al-Ahli Benghazi,171,left,74,3,"Dec 30, 2012",€350Th.," $396,000 ",350000,Left Winger,1,Libya,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
155,6,20,Iraq,Iraq,Aymen Hussein,Tuesday,22,3,1996,25,Umm Salal SC,188,right,40,5,"Aug 26, 2015",€325Th.," $367,000 ",325000,Centre-Forward,1,Qatar,20,26.1,8,AFC,72,€8.48m,$8.5m,"8,480,000"
156,7,1,Jordan,Jordan,Abdallah Al-Fakhori,Saturday,22,1,2000,21,Al-Wehdat,187,right,7,,"Jan 11, 2018",€250Th.," $283,000 ",250000,Goalkeeper,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
157,7,2,Jordan,Jordan,Moataz Yaseen,Saturday,3,11,1982,38,Al-Salt SC,191,right,25,,"Jun 3, 2009",_, - ,,Goalkeeper,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
158,7,3,Jordan,Jordan,Malek Shalabiya,Saturday,20,2,1988,33,Al-Ramtha,,-,,,-,_, - ,,Goalkeeper,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
159,7,4,Jordan,Jordan,Yazan Al-Arab,Thursday,31,1,1996,25,Al-Wehdat,186,left,31,1,"Aug 29, 2017",€400Th. ," $452,000 ",400000,Centre-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
160,7,5,Jordan,Jordan,Mohannad Khair Alla,Tuesday,25,7,1993,28,Al-Ramtha,189,-,13,2,"Jun 3, 2016",€300Th.," $339,000 ",300000,Centre-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
161,7,6,Jordan,Jordan,Anas Bani Yassen,Thursday,29,11,1988,32,Al-Faisaly Amman,186,right,90,5,"Aug 13, 2008",€275Th.," $311,000 ",275000,Centre-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
162,7,7,Jordan,Jordan,Abdallah Nasib,Saturday,25,2,1993,28,Al-Wehdat,,-,2,,"Sep 4, 2021",€50Th.," $57,000 ",50000,Centre-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
163,7,8,Jordan,Jordan,Hadi Al Hourani,Tuesday,14,4,2000,21,Al-Ramtha,,right,,,-,_, - ,,Centre-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
164,7,9,Jordan,Jordan,Mohammad Al-Dmeiri,Friday,30,8,1987,34,Al-Wehdat,184,left,84,2,"Dec 21, 2008",€150Th. ," $170,000 ",150000,Left-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
165,7,10,Jordan,Jordan,Mohammad Ali Hasheesh,Saturday, -   ,1,-,0,Al-Salt SC,,left,1,,"Sep 7, 2021",_, - ,,Left-Back,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
166,7,11,Jordan,Jordan,Ehsan Haddad,Tuesday,5,2,1994,27,Al-Quwa Al-Jawiya,180,right,43,1,"Jun 16, 2015",€400Th. ," $452,000 ",400000,Right-Back,1,Iraq,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
167,7,12,Jordan,Jordan,Noor Al-Rawabdeh,Thursday,24,2,1997,24,Al-Muharraq SC,179,right,20,,"Aug 7, 2019",€325Th. ," $367,000 ",325000,Defensive Midfield,1,Bahrain,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
168,7,13,Jordan,Jordan,Ahmad Haikal,Monday,2,4,1997,24,Al-Wehdat,,right,2,,"May 24, 2021",€175Th. ," $198,000 ",175000,Defensive Midfield,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
169,7,14,Jordan,Jordan,Nizar Al-Rashdan,Wednesday,23,3,1999,22,Al-Faisaly Amman,,right,1,,"Sep 4, 2021",_, - ,,Defensive Midfield,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
170,7,15,Jordan,Jordan,Ibrahim Sadeh,Thursday,27,4,2000,21,Al-Jazeera Club (Jordan),,-,10,,"Feb 5, 2021",€200Th.," $226,000 ",200000,Central Midfield,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
171,7,16,Jordan,Jordan,Mohammad Al-Daoud,Wednesday,4,12,1992,28,Al-Salt SC,177,right,6,,"Aug 13, 2012",€100Th. ," $113,000 ",100000,Central Midfield,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
172,7,17,Jordan,Jordan,Odai Al-Saify,Friday,26,5,1986,35,Al-Nasr SC (Kuwait),178,right,99,13,"Jun 18, 2007",€300Th.," $339,000 ",300000,Right Midfield,1,Kuwait,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
173,7,18,Jordan,Jordan,Yousef Abu Jalboush,Monday,15,6,1998,23,Al-Faisaly Amman,172,left,3,,"Feb 1, 2021",_, - ,,Attacking Midfield,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
174,7,19,Jordan,Jordan,Ahmed Ersan,Friday,28,9,1995,26,Kazma SC,173,right,25,4,"Oct 10, 2018",€350Th. ," $396,000 ",350000,Left Winger,1,Kuwait,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
175,7,20,Jordan,Jordan,Sharara,Monday,30,12,1997,23,Al-Ramtha,169,left,9,1,"Jun 7, 2019",€150Th.," $170,000 ",150000,Right Winger,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
176,7,21,Jordan,Jordan,Anas Hammad,Tuesday,29,5,1998,23,Al-Wehdat,,right,4,,"Nov 12, 2020",€125Th.," $141,000 ",125000,Right Winger,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
177,7,22,Jordan,Jordan,Yazan Al-Naimat,Tuesday,4,6,1999,22,Sahab SC,180,right,12,1,"Feb 1, 2021",€300Th.," $339,000 ",300000,Centre-Forward,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
178,7,23,Jordan,Jordan,Bahaa Faisal,Thursday,30,5,1995,26,Al-Shamal SC,178,right,49,15,"Mar 24, 2016",€225Th.," $254,000 ",225000,Centre-Forward,1,Qatar,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
179,7,24,Jordan,Jordan,Hamza Al-Daradreh,Tuesday,12,5,1991,30,Al-Ramtha,171,right,83,25,"Jan 2, 2011",€200Th.," $226,000 ",200000,Centre-Forward,0,-,24,27.3,5,AFC,90,€4.28m,$4.3m,"4,280,000"
180,8,1,Kuwait,Kuwait,Sulaiman Abdulghafoor,Sunday,26,2,1991,30,Al Arabi SC Kuwait,,-,13,,-,€325Th.," $367,000 ",325000,Goalkeeper,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
181,8,2,Kuwait,Kuwait,Khaled Al Rashidi,Wednesday,20,4,1987,34,Qadsia SC,185,-,21,,"Aug 11, 2010",€150Th.," $170,000 ",150000,Goalkeeper,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
182,8,3,Kuwait,Kuwait,Saud Al Jenaie,Friday,12,6,1994,27,Al-Tadamon SC,170,-,2,,-,€150Th.," $170,000 ",150000,Goalkeeper,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
183,8,4,Kuwait,Kuwait,Fahad Al-Hajeri,Monday,10,11,1991,29,Kuwait SC,,right,29,1,-,€500Th.," $565,000 ",500000,Centre-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
184,8,5,Kuwait,Kuwait,Fahad Al Reshidi,Wednesday,3,10,1990,31,Kuwait SC,,-,20,,-,€450Th. ," $509,000 ",450000,Centre-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
185,8,6,Kuwait,Kuwait,Abdulaziz Mahran,Thursday,19,8,2001,20,Kuwait SC,,-,2,,"Jan 18, 2021",€350Th. ," $396,000 ",350000,Centre-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
186,8,7,Kuwait,Kuwait,Hamad Al Harbi,Tuesday,25,7,1992,29,Kazma SC,,-,12,2,-,€300Th. ," $339,000 ",300000,Centre-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
187,8,8,Kuwait,Kuwait,Hamad Al Qallaf,Wednesday,4,12,1999,21,Al-Salmiya SC,,left,2,,"Jan 18, 2021",€300Th. ," $339,000 ",300000,Left-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
188,8,9,Kuwait,Kuwait,Moaath Meshal,Friday,20,5,1997,24,Al-Nasr SC (Kuwait),,-,,,-,€150Th. ," $170,000 ",150000,Left-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
189,8,10,Kuwait,Kuwait,Sami Al Sanea,Thursday,9,1,1993,28,Kuwait SC,,-,4,,-,€450Th.," $509,000 ",450000,Right-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
190,8,11,Kuwait,Kuwait,Mahdi Dashti,Thursday,26,10,2001,20,Al-Salmiya SC,,-,1,,"Mar 25, 2021",€200Th. ," $226,000 ",200000,Right-Back,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
191,8,12,Kuwait,Kuwait,Fahad Al Ansari,Saturday,25,2,1987,34,Qadsia SC,190,right,35,2,-,€400Th. ," $452,000 ",400000,Defensive Midfield,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
192,8,13,Kuwait,Kuwait,Hussain Ali Mohsin,Thursday,26,1,2002,19,Al Arabi SC Kuwait,,-,1,,-,€400Th. ," $452,000 ",400000,Central Midfield,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
193,8,14,Kuwait,Kuwait,Fawaz Ayedh,Monday,21,2,1997,24,Al-Salmiya SC,,-,3,,"Jan 18, 2021",€200Th.," $226,000 ",200000,Central Midfield,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
194,8,15,Kuwait,Kuwait,Ahmad Al Dhefiri,Tuesday,8,1,1992,29,Qadsia SC,,right,13,,"Oct 15, 2018",€400Th. ," $452,000 ",400000,Attacking Midfield,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
195,8,16,Kuwait,Kuwait,Fawaz Al Embailesh,Tuesday,8,1,1999,22,Khaitan Sporting Club,,-,1,,"Jun 15, 2021",€175Th. ," $198,000 ",175000,Attack,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
196,8,17,Kuwait,Kuwait,Mubarak Al Fnaini,Friday,21,1,2000,21,Al-Salmiya SC,166,right,8,2,"Aug 10, 2019",€400Th.," $452,000 ",400000,Left Winger,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
197,8,18,Kuwait,Kuwait,Ahmad Zanki,Friday,17,12,1995,25,Kuwait SC,,-,3,1,"Nov 19, 2019",€300Th. ," $339,000 ",300000,Left Winger,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
198,8,19,Kuwait,Kuwait,Eid Al Rasheedi,Friday,17,12,1995,25,Qadsia SC,,-,4,1,-,€225Th. ," $254,000 ",225000,Right Winger,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
199,8,20,Kuwait,Kuwait,Abdulmohsen Al Turkmani,Thursday,24,2,1995,26,Al-Shabab,,right,,,-,€175Th. ," $198,000 ",175000,Right Winger,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
200,8,21,Kuwait,Kuwait,Yousef Al Salman,Thursday,9,10,1990,31,Kuwait SC,179,right,86,40,-,€550Th. ," $622,000 ",550000,Centre-Forward,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
201,8,22,Kuwait,Kuwait,Shabaib Al Khaldi,Monday,11,8,1998,23,Kazma SC,,-,4,1,"Nov 14, 2019",€300Th.  ," $339,000 ",300000,Centre-Forward,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
202,8,23,Kuwait,Kuwait,Bader Al Mutawa,Friday,10,1,1985,36,Qadsia SC,175,right,186,56,"Sep 4, 2003",€100Th.," $113,000 ",100000,Centre-Forward,0,-,23,27,0,AFC,142,€6.95m,$7m,"6,950,000"
203,9,1,Lebanon,Lebanon,Mostafa Matar,Wednesday,10,9,1995,26,Al-Ahed,,-,2,,"Aug 8, 2019",€200Th.," $226,000 ",200000,Goalkeeper,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
204,9,2,Lebanon,Lebanon,Hadi Mortada,Wednesday,1,8,1999,22,Al-Ansar,,right,,,-,_, - ,,Goalkeeper,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
205,9,3,Lebanon,Lebanon,Ali Sabeh,Saturday,24,6,1994,27,Al-Nejmeh,180,-,1,,"Nov 6, 2014",_, - ,,Goalkeeper,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
206,9,4,Lebanon,Lebanon,Houssein Mourtada,Monday,14,9,2000,21,Al-Ahed,,-,,,-,_, - ,,Defence,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
207,9,5,Lebanon,Lebanon,Hasan Srour,Saturday,18,12,2001,19,Al-Ahed,,-,,,-,_, - ,,Defence,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
208,9,6,Lebanon,Lebanon,Joan Oumari,Thursday,19,8,1988,33,FC Tokyo,187,left,16,2,"Sep 6, 2013",€450Th. ," $509,000 ",450000,Centre-Back,1,Japan,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
209,9,7,Lebanon,Lebanon,Kassem El Zein,Sunday,2,12,1990,30,Al-Nejmeh,180,right,17,,"Oct 14, 2014",€325Th. ," $367,000 ",325000,Centre-Back,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
210,9,8,Lebanon,Lebanon,Alexander Michel,Saturday,14,11,1992,28,Al-Shahania SC,183,right,9,,"Nov 15, 2018",€300Th.," $339,000 ",300000,Centre-Back,1,Qatar,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
211,9,9,Lebanon,Lebanon,Felix Michel Melki,Saturday,23,7,1994,27,AFC Eskilstuna,193,right,12,1,"Nov 15, 2018",€200Th.," $226,000 ",200000,Centre-Back,1,Sweden,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
212,9,10,Lebanon,Lebanon,Hussein El Dor,Monday,18,1,1994,27,Al-Ansar,190,right,1,,"Oct 12, 2021",€125Th.," $141,000 ",125000,Centre-Back,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
213,9,11,Lebanon,Lebanon,Mohamad Zein El Abidine Tahan,Monday,2,4,1988,33,Safa Beirut SC,,right,26,1,"Jun 4, 2013",€75Th.," $85,000 ",75000,Right-Back,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
214,9,12,Lebanon,Lebanon,Youssef Barakat,Friday,9,5,1998,23,Al-Ansar,,-,,,-,_, - ,,midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
215,9,13,Lebanon,Lebanon,Abbas Assi,Thursday,10,7,1995,26,Shabab Sahel,178,-,1,,"Nov 6, 2014",€200Th. ," $226,000 ",200000,Defensive Midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
216,9,14,Lebanon,Lebanon,Walid Shour,Tuesday,10,6,1996,25,Al-Ahed,183,right,,,-,_, - ,,Defensive Midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
217,9,15,Lebanon,Lebanon,Mahdi Zein,Monday,23,5,2000,21,Al-Nejmeh,,-,,,-,_, - ,,Left Midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
218,9,16,Lebanon,Lebanon,Majed Osman,Monday,9,6,1994,27,Al-Ansar,183,right,2,,"Mar 29, 2021",€325Th. ," $367,000 ",325000,Attacking Midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
219,9,17,Lebanon,Lebanon,Nader Matar,Tuesday,12,5,1992,29,Muaither Sports Club,175,-,34,2,"Jan 22, 2012",€250Th. ," $283,000 ",250000,Attacking Midfield,1,Qatar,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
